Account Number,Meter ID,Billing Start,Billing End,kWh,Unit,Tariff,Service Address
U-1018,MTR-BLR-017,2026-02-18,2026-03-20,114012,kWh,Time of Use,Factory London
U-1019,MTR-MUM-024,2026-02-19,2026-03-22,134366,kWh,HT Industrial,Office Mumbai
U-1020,MTR-BLR-006,2026-02-20,2026-03-21,163566,kWh,General Service,Lab San Francisco
U-1021,MTR-MUM-013,2026-02-21,2026-03-24,122359,kWh,Time of Use,Plant Delhi
U-1022,MTR-BLR-016,2026-02-22,2026-03-23,35078,kWh,General Service,Plant Delhi
U-1023,MTR-DEL-019,2026-02-23,2026-03-25,77654,kWh,Commercial,Plant Delhi
U-1024,MTR-LON-025,2026-02-24,2026-03-24,449,kWh,Commercial,Factory London
U-1025,MTR-SFO-003,2026-02-25,2026-04-10,56087,kWh,Green Supply,Plant Delhi
U-1026,MTR-BLR-014,2026-02-26,2026-03-25,27950,kWh,Time of Use,Warehouse Bangalore
U-1027,MTR-BLR-007,2026-02-27,2026-03-27,46486,kWh,Commercial,Lab San Francisco
U-1028,MTR-DEL-018,2026-02-28,2026-03-27,75659,kWh,HT Industrial,Office Mumbai
U-1029,MTR-LON-001,2026-03-01,2026-03-28,127911,kWh,Commercial,Lab San Francisco
U-1030,MTR-MUM-016,2026-03-02,2026-03-31,57690,kWh,Time of Use,Warehouse Bangalore
U-1031,MTR-DEL-010,2026-03-03,2026-03-30,126854,kWh,General Service,Office Mumbai
U-1032,MTR-DEL-002,2026-03-04,2026-04-03,113114,kWh,General Service,Plant Delhi
U-1033,MTR-DEL-015,2026-03-05,2026-04-02,86724,kWh,Time of Use,Lab San Francisco
U-1034,MTR-BLR-002,2026-03-06,2026-04-02,171604,kWh,Commercial,Warehouse Bangalore
U-1035,MTR-MUM-023,2026-03-07,2026-04-03,64901,kWh,Commercial,Factory London
U-1036,MTR-SFO-017,2026-03-08,2026-04-21,9459,kWh,Time of Use,Factory London
U-1037,MTR-LON-012,2026-03-09,2026-04-06,13943,kWh,Green Supply,Warehouse Bangalore
U-1038,MTR-BLR-022,2026-03-10,2026-04-06,18754,kWh,Green Supply,Factory London
U-1039,MTR-SFO-020,2026-03-11,2026-04-10,46023,kWh,Commercial,Lab San Francisco
U-1040,MTR-MUM-019,2026-03-12,2026-04-11,94202,kWh,Commercial,Factory London
U-1041,MTR-SFO-001,2026-03-13,2026-04-10,6975,kWh,HT Industrial,Factory London
U-1042,MTR-DEL-008,2026-03-14,2026-04-10,132206,kWh,Commercial,Plant Delhi
U-1043,MTR-MUM-018,2026-03-15,2026-04-28,56530,kWh,Green Supply,Lab San Francisco
U-1044,MTR-MUM-001,2026-03-16,2026-04-14,41445,kWh,Commercial,Office Mumbai
U-1045,MTR-BLR-013,2026-03-17,2026-04-13,93014,kWh,Green Supply,Office Mumbai
U-1046,MTR-BLR-018,2026-03-18,2026-04-16,19190,kWh,Green Supply,Lab San Francisco
U-1047,MTR-SFO-020,2026-03-19,2026-04-19,59088,kWh,Commercial,Warehouse Bangalore
U-1048,MTR-DEL-010,2026-03-20,2026-04-20,151737,kWh,General Service,Plant Delhi
U-1049,MTR-SFO-013,2026-03-21,2026-04-18,132999,kWh,HT Industrial,Lab San Francisco
U-1050,MTR-DEL-011,2026-03-22,2026-04-18,147859,kWh,Green Supply,Factory London
U-1051,MTR-DEL-011,2026-03-23,2026-05-06,7653,kWh,General Service,Lab San Francisco
U-1052,MTR-MUM-010,2026-03-24,2026-04-21,127909,kWh,HT Industrial,Factory London
U-1053,MTR-MUM-002,2026-03-25,2026-04-25,88213,kWh,Green Supply,Lab San Francisco
U-1054,MTR-MUM-022,2026-03-26,2026-04-24,166223,kWh,Green Supply,Factory London
U-1055,MTR-DEL-020,2026-03-27,2026-04-26,32333,kWh,HT Industrial,Factory London
U-1056,MTR-LON-019,2026-03-28,2026-04-27,74270,kWh,Time of Use,Office Mumbai
U-1057,MTR-SFO-008,2026-03-29,2026-04-25,90700,kWh,Green Supply,Office Mumbai
U-1058,MTR-BLR-003,2026-03-30,2026-04-29,75084,kWh,Green Supply,Office Mumbai
U-1059,MTR-DEL-024,2026-03-31,2026-05-01,138510,kWh,Time of Use,Lab San Francisco
U-1060,MTR-DEL-019,2026-04-01,2026-04-28,56654,kWh,General Service,Plant Delhi
U-1061,MTR-SFO-001,2026-04-02,2026-05-03,3823,kWh,HT Industrial,Warehouse Bangalore
U-1062,MTR-BLR-021,2026-04-03,2026-05-04,96082,kWh,General Service,Office Mumbai
U-1063,MTR-BLR-016,2026-04-04,2026-05-18,72124,kWh,Green Supply,Warehouse Bangalore
U-1064,MTR-BLR-025,2026-04-05,2026-05-04,43641,kWh,Time of Use,Plant Delhi
U-1065,MTR-LON-015,2026-04-06,2026-05-06,28457,kWh,Time of Use,Lab San Francisco
U-1066,MTR-DEL-014,2026-04-07,2026-05-04,51928,kWh,HT Industrial,Office Mumbai
U-1067,MTR-DEL-019,2026-04-08,2026-05-08,97539,kWh,Green Supply,Office Mumbai
U-1068,MTR-BLR-021,2026-04-09,2026-05-06,68879,kWh,Green Supply,Office Mumbai
U-1069,MTR-SFO-002,2026-04-10,2026-05-09,73473,kWh,Commercial,Plant Delhi
U-1070,MTR-MUM-024,2026-04-11,2026-05-25,46730,kWh,HT Industrial,Warehouse Bangalore
U-1071,MTR-MUM-005,2026-04-12,2026-05-13,46385,kWh,Time of Use,Plant Delhi
U-1072,MTR-BLR-008,2026-04-13,2026-05-11,153948,kWh,Green Supply,Warehouse Bangalore
U-1073,MTR-DEL-017,2026-04-14,2026-05-15,152753,kWh,Green Supply,Warehouse Bangalore
U-1074,MTR-DEL-005,2026-04-15,2026-05-13,117952,kWh,HT Industrial,Lab San Francisco
U-1075,MTR-DEL-009,2026-04-16,2026-05-15,31901,kWh,Commercial,Lab San Francisco
U-1076,MTR-SFO-008,2026-04-17,2026-05-14,48482,kWh,Commercial,Warehouse Bangalore
U-1077,MTR-DEL-013,2026-04-18,2026-05-18,113666,kWh,Time of Use,Lab San Francisco
U-1078,MTR-BLR-020,2026-04-19,2026-05-18,39775,kWh,HT Industrial,Plant Delhi
U-1079,MTR-LON-014,2026-04-20,2026-05-21,124362,kWh,Time of Use,Warehouse Bangalore
U-1080,MTR-DEL-016,2026-04-21,2026-05-19,62657,kWh,General Service,Office Mumbai
U-1081,MTR-DEL-012,2026-04-22,2026-05-23,56703,kWh,Commercial,Warehouse Bangalore
U-1082,MTR-BLR-020,2026-04-23,2026-05-24,126624,kWh,Green Supply,Plant Delhi
U-1083,MTR-SFO-018,2026-04-24,2026-05-22,76494,kWh,HT Industrial,Lab San Francisco
U-1084,MTR-LON-019,2026-04-25,2026-05-25,30862,kWh,General Service,Plant Delhi
U-1085,MTR-BLR-023,2026-04-26,2026-05-25,140318,kWh,Time of Use,Warehouse Bangalore
U-1086,MTR-LON-007,2026-04-27,2026-05-27,38172,kWh,Green Supply,Office Mumbai
U-1087,MTR-MUM-022,2026-04-28,2026-05-29,27935,kWh,Green Supply,Warehouse Bangalore
U-1088,MTR-LON-018,2026-04-29,2026-05-26,125637,kWh,General Service,Office Mumbai
U-1089,MTR-MUM-012,2026-04-30,2026-05-28,155432,kWh,Green Supply,Office Mumbai
U-1090,MTR-BLR-008,2026-05-01,2026-05-29,133399,kWh,Green Supply,Lab San Francisco
U-1091,MTR-LON-001,2026-05-02,2026-05-31,32692,kWh,Commercial,Factory London
U-1092,MTR-LON-014,2026-05-03,2026-05-30,127902,kWh,Time of Use,Lab San Francisco
U-1093,MTR-DEL-020,2026-05-04,2026-06-03,157470,kWh,Green Supply,Office Mumbai
U-1094,MTR-LON-004,2026-05-05,2026-06-02,172484,kWh,HT Industrial,Plant Delhi
U-1095,MTR-SFO-009,2026-05-06,2026-06-03,162635,kWh,HT Industrial,Factory London
U-1096,MTR-DEL-018,2026-05-07,2026-06-03,10998,kWh,General Service,Plant Delhi
U-1097,MTR-SFO-022,2026-05-08,2026-06-04,27934,kWh,HT Industrial,Factory London
U-1098,MTR-DEL-003,2026-05-09,2026-06-05,78770,kWh,Time of Use,Factory London
U-1099,MTR-LON-010,2026-05-10,2026-06-10,172044,kWh,Green Supply,Warehouse Bangalore
U-1100,MTR-MUM-016,2026-05-11,2026-06-10,78566,kWh,HT Industrial,Office Mumbai
U-1101,MTR-LON-018,2026-05-12,2026-06-09,31057,kWh,Green Supply,Plant Delhi
U-1102,MTR-MUM-014,2026-05-13,2026-06-10,12307,kWh,Commercial,Lab San Francisco
U-1103,MTR-LON-006,2026-05-14,2026-06-13,14845,kWh,HT Industrial,Factory London
U-1104,MTR-SFO-024,2026-05-15,2026-06-28,59754,kWh,HT Industrial,Factory London
U-1105,MTR-BLR-016,2026-05-16,2026-06-13,151866,kWh,General Service,Plant Delhi
U-1106,MTR-MUM-012,2026-05-17,2026-06-13,118468,kWh,HT Industrial,Lab San Francisco
U-1107,MTR-SFO-018,2026-05-18,2026-06-17,172234,kWh,Green Supply,Factory London
U-1108,MTR-DEL-009,2026-05-19,2026-06-18,67279,kWh,Green Supply,Factory London
U-1109,MTR-BLR-010,2026-05-20,2026-06-16,106319,kWh,General Service,Office Mumbai
U-1110,MTR-MUM-020,2026-05-21,2026-06-21,137368,kWh,Time of Use,Office Mumbai
U-1111,MTR-DEL-018,2026-05-22,2026-06-20,174642,kWh,Time of Use,Office Mumbai
U-1112,MTR-LON-019,2026-05-23,2026-06-19,71571,kWh,General Service,Lab San Francisco
U-1113,MTR-BLR-013,2026-05-24,2026-06-24,106035,kWh,Time of Use,Warehouse Bangalore
U-1114,MTR-MUM-022,2026-05-25,2026-06-25,110972,kWh,Time of Use,Office Mumbai
U-1115,MTR-MUM-004,2026-05-26,2026-06-22,45245,kWh,Time of Use,Warehouse Bangalore
U-1116,MTR-MUM-004,2026-05-27,2026-06-26,109048,kWh,Green Supply,Warehouse Bangalore
U-1117,MTR-BLR-023,2026-05-28,2026-06-24,90053,kWh,Commercial,Office Mumbai
U-1118,MTR-LON-014,2026-05-29,2026-06-27,24191,kWh,Green Supply,Lab San Francisco
U-1119,MTR-DEL-012,2026-05-30,2026-06-27,47975,kWh,HT Industrial,Warehouse Bangalore
U-1120,MTR-SFO-022,2026-05-31,2026-06-30,141383,kWh,HT Industrial,Lab San Francisco
U-1121,MTR-BLR-023,2026-06-01,2026-07-01,135756,kWh,HT Industrial,Factory London
U-1122,MTR-BLR-017,2026-06-02,2026-06-30,78296,kWh,General Service,Office Mumbai
U-1123,MTR-MUM-013,2026-06-03,2026-07-03,154745,kWh,Green Supply,Plant Delhi
U-1124,MTR-BLR-023,2026-06-04,2026-07-01,75862,kWh,Green Supply,Lab San Francisco
U-1125,MTR-DEL-024,2026-06-05,2026-07-19,145499,kWh,Green Supply,Warehouse Bangalore
U-1126,MTR-SFO-005,2026-06-06,2026-07-05,46408,kWh,Time of Use,Warehouse Bangalore
U-1127,MTR-LON-004,2026-06-07,2026-07-05,94377,kWh,Commercial,Lab San Francisco
U-1128,MTR-MUM-011,2026-06-08,2026-07-09,167539,kWh,HT Industrial,Plant Delhi
U-1129,MTR-BLR-020,2026-06-09,2026-07-08,35697,kWh,HT Industrial,Warehouse Bangalore
U-1130,MTR-MUM-011,2026-06-10,2026-07-10,47827,kWh,Commercial,Office Mumbai
U-1131,MTR-DEL-016,2026-06-11,2026-07-12,105760,kWh,General Service,Warehouse Bangalore
U-1132,MTR-LON-006,2026-06-12,2026-07-09,17202,kWh,Time of Use,Plant Delhi
U-1133,MTR-BLR-010,2026-06-13,2026-07-27,143934,kWh,General Service,Factory London
U-1134,MTR-MUM-003,2026-06-14,2026-07-13,40740,kWh,HT Industrial,Office Mumbai
U-1135,MTR-MUM-010,2026-06-15,2026-07-29,81802,kWh,HT Industrial,Warehouse Bangalore
U-1136,MTR-SFO-021,2026-06-16,2026-07-13,98552,kWh,Commercial,Factory London
U-1137,MTR-LON-006,2026-06-17,2026-07-16,119333,kWh,Commercial,Warehouse Bangalore
U-1138,MTR-DEL-005,2026-06-18,2026-08-01,48372,kWh,HT Industrial,Factory London
U-1139,MTR-SFO-011,2026-06-19,2026-07-16,29731,kWh,General Service,Warehouse Bangalore
U-1140,MTR-LON-004,2026-06-20,2026-07-20,145269,kWh,Time of Use,Warehouse Bangalore
U-1141,MTR-LON-025,2026-06-21,2026-07-22,123220,kWh,Time of Use,Lab San Francisco
U-1142,MTR-SFO-011,2026-06-22,2026-07-19,44364,kWh,Commercial,Warehouse Bangalore
U-1143,MTR-DEL-021,2026-06-23,2026-08-06,94154,kWh,Commercial,Office Mumbai
U-1144,MTR-BLR-008,2026-06-24,2026-07-25,165267,kWh,Time of Use,Lab San Francisco
U-1145,MTR-SFO-003,2026-06-25,2026-07-25,61875,kWh,General Service,Warehouse Bangalore
U-1146,MTR-MUM-017,2026-06-26,2026-08-09,171865,kWh,Time of Use,Factory London
U-1147,MTR-BLR-012,2026-06-27,2026-07-24,118185,kWh,General Service,Plant Delhi
U-1148,MTR-MUM-017,2026-06-28,2026-07-28,160240,kWh,HT Industrial,Office Mumbai
U-1149,MTR-MUM-006,2026-06-29,2026-07-28,84877,kWh,HT Industrial,Warehouse Bangalore
U-1150,MTR-LON-022,2026-01-01,2026-02-01,112440,kWh,HT Industrial,Office Mumbai
U-1151,MTR-BLR-017,2026-01-02,2026-02-01,169479,kWh,HT Industrial,Plant Delhi
U-1152,MTR-BLR-010,2026-01-03,2026-02-01,48532,kWh,Commercial,Office Mumbai
U-1153,MTR-MUM-001,2026-01-04,2026-02-04,68219,kWh,Time of Use,Lab San Francisco
U-1154,MTR-BLR-002,2026-01-05,2026-02-05,152467,kWh,Commercial,Warehouse Bangalore
U-1155,MTR-DEL-012,2026-01-06,2026-02-04,125126,kWh,Green Supply,Factory London
U-1156,MTR-DEL-025,2026-01-07,2026-02-07,94529,kWh,General Service,Office Mumbai
U-1157,MTR-SFO-002,2026-01-08,2026-02-08,161530,kWh,Time of Use,Plant Delhi
U-1158,MTR-LON-020,2026-01-09,2026-02-09,70932,kWh,Green Supply,Factory London
U-1159,MTR-LON-004,2026-01-10,2026-02-07,123029,kWh,Green Supply,Warehouse Bangalore
U-1160,MTR-LON-005,2026-01-11,2026-02-11,6486,kWh,Commercial,Factory London
U-1161,MTR-BLR-014,2026-01-12,2026-02-11,19401,kWh,HT Industrial,Plant Delhi
U-1162,MTR-SFO-002,2026-01-13,2026-02-26,74809,kWh,Green Supply,Office Mumbai
U-1163,MTR-MUM-014,2026-01-14,2026-02-10,138459,kWh,General Service,Lab San Francisco
U-1164,MTR-BLR-006,2026-01-15,2026-02-11,124480,kWh,Green Supply,Plant Delhi
U-1165,MTR-BLR-019,2026-01-16,2026-02-16,137745,kWh,Green Supply,Office Mumbai
U-1166,MTR-SFO-014,2026-01-17,2026-02-14,71056,kWh,Time of Use,Warehouse Bangalore
U-1167,MTR-BLR-013,2026-01-18,2026-02-14,102496,kWh,Commercial,Plant Delhi
U-1168,MTR-DEL-015,2026-01-19,2026-03-04,24571,kWh,General Service,Plant Delhi
U-1169,MTR-LON-025,2026-01-20,2026-02-20,44384,kWh,General Service,Office Mumbai
U-1170,MTR-MUM-022,2026-01-21,2026-02-19,165378,kWh,Time of Use,Warehouse Bangalore
U-1171,MTR-LON-009,2026-01-22,2026-02-18,21544,kWh,Commercial,Plant Delhi
U-1172,MTR-MUM-024,2026-01-23,2026-03-08,95717,kWh,Time of Use,Factory London
U-1173,MTR-BLR-007,2026-01-24,2026-02-21,49471,kWh,General Service,Plant Delhi
U-1174,MTR-SFO-024,2026-01-25,2026-03-10,124117,kWh,General Service,Lab San Francisco
U-1175,MTR-MUM-007,2026-01-26,2026-02-24,38788,kWh,Green Supply,Lab San Francisco
U-1176,MTR-MUM-010,2026-01-27,2026-02-23,26665,kWh,Green Supply,Plant Delhi
U-1177,MTR-LON-008,2026-01-28,2026-02-27,163083,kWh,HT Industrial,Office Mumbai
U-1178,MTR-MUM-010,2026-01-29,2026-02-26,51657,kWh,HT Industrial,Plant Delhi
U-1179,MTR-BLR-006,2026-01-30,2026-03-02,166263,kWh,Green Supply,Warehouse Bangalore
U-1180,MTR-MUM-017,2026-01-31,2026-03-03,160116,kWh,Green Supply,Office Mumbai
U-1181,MTR-LON-007,2026-02-01,2026-02-28,68191,kWh,Commercial,Factory London
U-1182,MTR-DEL-024,2026-02-02,2026-03-03,112774,kWh,General Service,Factory London
U-1183,MTR-DEL-008,2026-02-03,2026-03-19,150047,kWh,Time of Use,Office Mumbai
U-1184,MTR-DEL-024,2026-02-04,2026-03-20,89410,kWh,HT Industrial,Lab San Francisco
U-1185,MTR-DEL-022,2026-02-05,2026-03-04,152874,kWh,Green Supply,Factory London
U-1186,MTR-SFO-024,2026-02-06,2026-03-05,49067,kWh,Time of Use,Lab San Francisco
U-1187,MTR-BLR-013,2026-02-07,2026-03-08,3079,kWh,Green Supply,Factory London
U-1188,MTR-SFO-025,2026-02-08,2026-03-07,133110,kWh,Commercial,Plant Delhi
U-1189,MTR-BLR-018,2026-02-09,2026-03-11,999999999,kWh,Time of Use,Factory London
U-1190,MTR-LON-021,2026-02-10,2026-03-09,4153,kWh,Green Supply,Lab San Francisco
U-1191,MTR-DEL-008,2026-02-11,2026-03-13,66770,kWh,Green Supply,Factory London
U-1192,MTR-LON-023,2026-02-12,2026-03-15,91997,kWh,Green Supply,Office Mumbai
U-1193,MTR-LON-014,2026-02-13,2026-03-14,155904,kWh,Commercial,Office Mumbai
U-1194,MTR-BLR-005,2026-02-14,2026-03-15,151266,kWh,Commercial,Office Mumbai
U-1195,MTR-BLR-024,2026-02-15,2026-03-18,132200,kWh,General Service,Office Mumbai
U-1196,MTR-MUM-020,2026-02-16,2026-03-17,106691,kWh,HT Industrial,Plant Delhi
U-1197,MTR-SFO-022,2026-02-17,2026-03-17,46548,kWh,HT Industrial,Lab San Francisco
U-1198,MTR-BLR-011,2026-02-18,2026-03-20,110725,kWh,Green Supply,Office Mumbai
U-1199,MTR-LON-016,2026-02-19,2026-03-19,18170,kWh,Green Supply,Office Mumbai
U-1200,MTR-BLR-019,2026-02-20,2026-04-05,161673,kWh,General Service,Factory London
U-1201,MTR-MUM-011,2026-02-21,2026-03-21,165266,kWh,Time of Use,Warehouse Bangalore
U-1202,MTR-BLR-014,2026-02-22,2026-03-22,60869,kWh,HT Industrial,Warehouse Bangalore
U-1203,MTR-BLR-012,2026-02-23,2026-03-26,63178,kWh,Commercial,Factory London
U-1204,MTR-MUM-010,2026-02-24,2026-03-23,63339,kWh,Time of Use,Warehouse Bangalore
U-1205,MTR-SFO-004,2026-02-25,2026-03-27,160873,kWh,Green Supply,Lab San Francisco
U-1206,MTR-BLR-021,2026-02-26,2026-03-27,125308,kWh,Commercial,Lab San Francisco
U-1207,MTR-LON-008,2026-02-27,2026-03-26,100460,kWh,General Service,Plant Delhi
U-1208,MTR-BLR-009,2026-02-28,2026-03-28,163067,kWh,Green Supply,Lab San Francisco
U-1209,MTR-BLR-006,2026-03-01,2026-04-01,60586,kWh,Commercial,Factory London
U-1210,MTR-SFO-020,2026-03-02,2026-04-01,104122,kWh,HT Industrial,Factory London
U-1211,MTR-MUM-015,2026-03-03,2026-03-31,163327,kWh,Time of Use,Lab San Francisco
U-1212,MTR-MUM-009,2026-03-04,2026-03-31,31693,kWh,Commercial,Warehouse Bangalore
U-1213,MTR-DEL-023,2026-03-05,2026-04-03,30905,kWh,Time of Use,Factory London
U-1214,MTR-DEL-016,2026-03-06,2026-04-04,135984,kWh,Time of Use,Warehouse Bangalore
U-1215,MTR-MUM-006,2026-03-07,2026-04-04,80769,kWh,HT Industrial,Factory London
U-1216,MTR-MUM-016,2026-03-08,2026-04-05,158811,kWh,HT Industrial,Lab San Francisco
U-1217,MTR-BLR-018,2026-03-09,2026-04-05,138151,kWh,Time of Use,Office Mumbai
U-1218,MTR-LON-025,2026-03-10,2026-04-07,9325,kWh,Green Supply,Plant Delhi
U-1219,MTR-LON-003,2026-03-11,2026-04-11,164486,kWh,Commercial,Lab San Francisco
U-1220,MTR-DEL-007,2026-03-12,2026-04-25,103620,kWh,HT Industrial,Factory London
U-1221,MTR-LON-021,2026-03-13,2026-04-13,150255,kWh,Time of Use,Lab San Francisco
U-1222,MTR-LON-024,2026-03-14,2026-04-11,88899,kWh,HT Industrial,Factory London
U-1223,MTR-MUM-009,2026-03-15,2026-04-11,127814,kWh,Commercial,Warehouse Bangalore
U-1224,MTR-DEL-005,2026-03-16,2026-04-16,35203,kWh,Green Supply,Office Mumbai
U-1225,MTR-BLR-006,2026-03-17,2026-04-13,29777,kWh,Time of Use,Lab San Francisco
U-1226,MTR-MUM-008,2026-03-18,2026-04-17,89115,kWh,General Service,Factory London
U-1227,MTR-DEL-015,2026-03-19,2026-05-02,146109,kWh,HT Industrial,Warehouse Bangalore
U-1228,MTR-DEL-018,2026-03-20,2026-04-17,16007,kWh,Commercial,Office Mumbai
U-1229,MTR-MUM-013,2026-03-21,2026-04-17,26089,kWh,Commercial,Warehouse Bangalore
U-1230,MTR-BLR-016,2026-03-22,2026-04-22,21847,kWh,General Service,Office Mumbai
U-1231,MTR-BLR-002,2026-03-23,2026-05-06,80933,kWh,HT Industrial,Warehouse Bangalore
U-1232,MTR-MUM-003,2026-03-24,2026-04-22,166383,kWh,Green Supply,Office Mumbai
U-1233,MTR-SFO-011,2026-03-25,2026-04-21,1237,kWh,General Service,Office Mumbai
U-1234,MTR-BLR-007,2026-03-26,2026-04-22,78952,kWh,Green Supply,Lab San Francisco
U-1235,MTR-DEL-009,2026-03-27,2026-04-23,74749,kWh,HT Industrial,Lab San Francisco
U-1236,MTR-MUM-010,2026-03-28,2026-04-26,138731,kWh,Commercial,Factory London
U-1237,MTR-LON-015,2026-03-29,2026-04-25,108177,kWh,Commercial,Office Mumbai
U-1238,MTR-SFO-004,2026-03-30,2026-04-26,97406,kWh,HT Industrial,Warehouse Bangalore
U-1239,MTR-BLR-020,2026-03-31,2026-04-27,12217,kWh,Green Supply,Warehouse Bangalore
U-1240,MTR-BLR-023,2026-04-01,2026-04-29,148327,kWh,Commercial,Warehouse Bangalore
U-1241,MTR-DEL-015,2026-04-02,2026-05-02,148292,kWh,General Service,Warehouse Bangalore
U-1242,MTR-SFO-005,2026-04-03,2026-05-01,57921,kWh,HT Industrial,Factory London
U-1243,MTR-MUM-004,2026-04-04,2026-05-04,31239,kWh,Commercial,Lab San Francisco
U-1244,MTR-SFO-025,2026-04-05,2026-05-06,108951,kWh,General Service,Plant Delhi
U-1245,MTR-LON-025,2026-04-06,2026-05-20,122748,kWh,Time of Use,Office Mumbai
U-1246,MTR-BLR-012,2026-04-07,2026-05-08,24621,kWh,Time of Use,Warehouse Bangalore
U-1247,MTR-BLR-004,2026-04-08,2026-05-22,64652,kWh,Time of Use,Warehouse Bangalore
U-1248,MTR-BLR-016,2026-04-09,2026-05-23,25970,kWh,Green Supply,Plant Delhi
U-1249,MTR-LON-011,2026-04-10,2026-05-08,57047,kWh,Commercial,Office Mumbai
U-1250,MTR-SFO-018,2026-04-11,2026-05-11,80500,kWh,Green Supply,Lab San Francisco
U-1251,MTR-DEL-017,2026-04-12,2026-05-12,148937,kWh,Green Supply,Plant Delhi
U-1252,MTR-BLR-021,2026-04-13,2026-05-14,91902,kWh,HT Industrial,Warehouse Bangalore
U-1253,MTR-BLR-002,2026-04-14,2026-05-14,14341,kWh,Time of Use,Lab San Francisco
U-1254,MTR-MUM-009,2026-04-15,2026-05-15,157262,kWh,General Service,Plant Delhi
U-1255,MTR-MUM-015,2026-04-16,2026-05-17,129682,kWh,Time of Use,Plant Delhi
U-1256,MTR-MUM-004,2026-04-17,2026-05-17,134342,kWh,Green Supply,Lab San Francisco
U-1257,MTR-LON-004,2026-04-18,2026-06-01,58801,kWh,Commercial,Factory London
U-1258,MTR-MUM-024,2026-04-19,2026-05-20,57836,kWh,Time of Use,Lab San Francisco
U-1259,MTR-BLR-018,2026-04-20,2026-05-21,174043,kWh,Green Supply,Warehouse Bangalore
U-1260,MTR-DEL-007,2026-04-21,2026-05-18,34512,kWh,Commercial,Office Mumbai
U-1261,MTR-DEL-008,2026-04-22,2026-05-20,31927,kWh,Time of Use,Lab San Francisco
U-1262,MTR-SFO-007,2026-04-23,2026-05-20,31210,kWh,Time of Use,Factory London
U-1263,MTR-DEL-012,2026-04-24,2026-05-25,165883,kWh,Commercial,Lab San Francisco
U-1264,MTR-BLR-007,2026-04-25,2026-04-24,59663,kWh,HT Industrial,Warehouse Bangalore
U-1265,MTR-BLR-001,2026-04-26,2026-05-27,112974,kWh,Time of Use,Lab San Francisco
U-1266,MTR-SFO-002,2026-04-27,2026-05-25,56530,kWh,Time of Use,Warehouse Bangalore
U-1267,,2026-04-28,2026-06-11,73200,kWh,Commercial,Factory London
U-1268,MTR-DEL-006,2026-04-29,2026-06-12,29407,kWh,Time of Use,Plant Delhi
U-1269,MTR-DEL-024,2026-04-30,2026-05-30,104437,kWh,General Service,Office Mumbai
U-1270,MTR-SFO-012,2026-05-01,2026-06-14,27697,kWh,HT Industrial,Warehouse Bangalore
U-1271,MTR-SFO-020,2026-05-02,2026-06-15,1894,kWh,HT Industrial,Factory London
U-1272,MTR-LON-020,2026-05-03,2026-06-01,11095,kWh,Time of Use,Plant Delhi
U-1273,MTR-LON-015,2026-05-04,2026-06-01,160960,kWh,Green Supply,Factory London
U-1274,MTR-DEL-015,2026-05-05,2026-06-02,30365,kWh,General Service,Lab San Francisco
U-1275,MTR-LON-004,2026-05-06,2026-06-02,114608,kWh,HT Industrial,Office Mumbai
U-1276,MTR-LON-001,2026-05-07,2026-06-04,132182,kWh,HT Industrial,Plant Delhi
U-1277,MTR-MUM-016,2026-05-08,2026-06-06,169660,kWh,Commercial,Plant Delhi
U-1278,MTR-SFO-004,2026-05-09,2026-06-09,151237,kWh,HT Industrial,Warehouse Bangalore
U-1279,MTR-DEL-019,2026-05-10,2026-06-06,98623,kWh,Time of Use,Office Mumbai
U-1280,MTR-BLR-016,2026-05-11,2026-06-07,138568,kWh,HT Industrial,Plant Delhi
U-1281,MTR-LON-025,2026-05-12,2026-06-25,109350,kWh,Green Supply,Office Mumbai
U-1282,MTR-BLR-019,2026-05-13,2026-06-26,20845,kWh,HT Industrial,Lab San Francisco
U-1283,MTR-SFO-021,2026-05-14,2026-06-14,96571,kWh,Green Supply,Office Mumbai
U-1284,MTR-SFO-006,2026-05-15,2026-06-14,138237,kWh,HT Industrial,Plant Delhi
U-1285,MTR-BLR-008,2026-05-16,2026-06-29,60061,kWh,Commercial,Plant Delhi
U-1286,MTR-SFO-007,2026-05-17,2026-06-15,58555,kWh,Commercial,Lab San Francisco
U-1287,MTR-BLR-009,2026-05-18,2026-06-15,24707,kWh,General Service,Warehouse Bangalore
U-1288,MTR-SFO-015,2026-05-19,2026-06-19,35296,kWh,General Service,Warehouse Bangalore
U-1289,MTR-BLR-022,2026-05-20,2026-06-17,54600,kWh,General Service,Factory London
U-1290,MTR-SFO-015,2026-05-21,2026-06-18,72819,kWh,Green Supply,Warehouse Bangalore
U-1291,MTR-LON-019,2026-05-22,2026-06-21,43720,kWh,Time of Use,Factory London
U-1292,MTR-LON-023,2026-05-23,2026-06-19,155891,kWh,Commercial,Lab San Francisco
U-1293,MTR-BLR-016,2026-05-24,2026-06-20,110380,kWh,Commercial,Factory London
U-1294,MTR-SFO-010,2026-05-25,2026-07-08,116033,kWh,Commercial,Plant Delhi
U-1295,MTR-LON-015,2026-05-26,2026-06-26,124740,kWh,Commercial,Office Mumbai
U-1296,MTR-MUM-001,2026-05-27,2026-06-23,61398,kWh,Time of Use,Lab San Francisco
U-1297,MTR-SFO-014,2026-05-28,2026-06-24,3370,kWh,Commercial,Office Mumbai
